timestamp,city,pm25,temperature,humidity,wind_speed,traffic_speed,free_flow_speed,traffic_congestion,hour_of_day,is_rush_hour,is_weekend,pm25_rolling_mean_3h,pm25_rolling_mean_6h,pm25_rolling_mean_24h,congestion_rolling_mean_6h,pm25_trend,congestion_trend,pm25_rate_of_change,congestion_rate_of_change,wind_dispersion,weather_stress,risk_score,risk_label,risk_driver,risk_score_mean_24h,risk_score_max_24h,risk_component_aqi,risk_component_traffic,risk_component_weather,is_traffic_anomaly,anomaly_severity,anomaly_direction,congestion_zscore,anomaly_count_24h,last_anomaly_timestamp,forecast_available,pm25_forecast_mean_24h,pm25_forecast_max_24h,pm25_forecast_peak_h
2026-03-27 00:00:00+00:00,New York,5.66,12.99,53,8.02,21.1,27.2,22.43,0,0,0,4.48,4.48,4.48,19.643,0,0,1.77,-1.67,0.697,0.0341,10.21,Low,Traffic,8.66,10.21,0.0151,0.0785,0.0085,0,Normal,Normal,0.44,0,,False,,,
2026-03-27 01:00:00+00:00,New York,6.48,13.78,53,8.03,23.5,27.2,13.6,1,0,0,5.343,4.98,4.98,18.132,1,1,0.82,-8.83,0.797,0.034,7.34,Low,Traffic,8.33,10.21,0.0173,0.0476,0.0085,0,Normal,Normal,-0.757,0,,False,,,
2026-03-27 02:00:00+00:00,New York,4.69,14.55,56,9.01,23.7,27.8,14.75,2,0,0,5.61,4.922,4.922,17.456,1,-1,-1.79,1.15,0.515,0.0261,7.06,Low,Traffic,8.08,10.21,0.0125,0.0516,0.0065,0,Normal,Normal,-0.501,0,,False,,,
2026-03-27 03:00:00+00:00,New York,6.33,13.85,57,7.53,19.9,27.4,27.37,3,0,0,5.833,5.157,5.157,19.108,1,-1,1.64,12.62,0.83,0.0541,12.62,Low,Traffic,8.83,12.62,0.0169,0.0958,0.0135,0,Normal,Normal,1.311,0,,False,,,
2026-03-27 04:00:00+00:00,New York,6.19,13.84,51,8.18,21.7,27.6,21.38,4,0,0,5.737,5.54,5.304,20.605,1,1,-0.14,-5.99,0.748,0.0264,9.79,Low,Traffic,8.97,12.62,0.0165,0.0748,0.0066,0,Normal,Normal,0.335,0,,False,,,
2026-03-27 05:00:00+00:00,New York,5.55,13.84,49,7.66,21.4,25.1,14.74,5,0,0,6.023,5.817,5.335,19.045,1,1,-0.64,-6.64,0.715,0.0296,7.38,Low,Traffic,8.77,12.62,0.0148,0.0516,0.0074,0,Normal,Normal,-0.729,0,,False,,,
2026-03-27 06:00:00+00:00,New York,5.55,11.74,55,7.13,21.3,25.6,16.8,6,0,0,5.763,5.798,5.359,18.107,1,-1,0.0,2.06,0.768,0.057,8.78,Low,Traffic,8.77,12.62,0.0148,0.0588,0.0142,0,Normal,Normal,-0.342,0,,False,,,
2026-03-27 07:00:00+00:00,New York,11.54,11.82,55,7.72,13.1,25.8,49.22,7,1,0,7.547,6.642,5.977,24.043,1,1,5.99,32.42,1.476,0.0449,21.43,Moderate,Traffic,10.04,21.43,0.0308,0.1723,0.0112,1,Moderate,Spike,2.527,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-27 08:00:00+00:00,New York,11.02,11.1,58,6.99,13.7,25.2,45.63,8,1,0,9.37,7.697,6.435,29.19,1,1,-0.52,-3.59,1.554,0.0691,20.64,Moderate,Traffic,11.0,21.43,0.0294,0.1597,0.0173,0,Normal,Normal,1.727,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-27 09:00:00+00:00,New York,9.8,10.29,54,8.45,12.9,25.3,49.01,9,1,0,10.787,8.275,6.716,32.797,1,1,-1.22,3.38,1.146,0.0297,20.5,Moderate,Traffic,11.79,21.43,0.0261,0.1715,0.0074,0,Normal,Normal,1.642,1,2026-03-27 07:00:00+00:00,False,,,
