city,latitude,longitude,pm25,temperature,humidity,wind_speed,traffic_speed,free_flow_speed,traffic_congestion,timestamp
New York,40.7143,-74.006,3.89,12.38,56,9.66,21.9,25.0,12.4,2026-03-26 22:00:00+00:00
New York,40.7143,-74.006,3.89,12.9,55,9.35,18.9,24.9,24.1,2026-03-26 23:00:00+00:00
New York,40.7143,-74.006,5.66,12.99,53,8.02,21.1,27.2,22.43,2026-03-27 00:00:00+00:00
New York,40.7143,-74.006,6.48,13.78,53,8.03,23.5,27.2,13.6,2026-03-27 01:00:00+00:00
New York,40.7143,-74.006,4.69,14.55,56,9.01,23.7,27.8,14.75,2026-03-27 02:00:00+00:00
New York,40.7143,-74.006,6.33,13.85,57,7.53,19.9,27.4,27.37,2026-03-27 03:00:00+00:00
New York,40.7143,-74.006,6.19,13.84,51,8.18,21.7,27.6,21.38,2026-03-27 04:00:00+00:00
New York,40.7143,-74.006,5.55,13.84,49,7.66,21.4,25.1,14.74,2026-03-27 05:00:00+00:00
New York,40.7143,-74.006,,11.74,55,7.13,21.3,25.6,16.8,2026-03-27 06:00:00+00:00
New York,40.7143,-74.006,11.54,11.82,55,7.72,13.1,25.8,49.22,2026-03-27 07:00:00+00:00
New York,40.7143,-74.006,11.02,11.1,58,6.99,13.7,25.2,45.63,2026-03-27 08:00:00+00:00
New York,40.7143,-74.006,9.8,10.29,54,8.45,12.9,25.3,49.01,2026-03-27 09:00:00+00:00
New York,40.7143,-74.006,6.03,8.66,56,8.08,17.9,25.2,28.97,2026-03-27 10:00:00+00:00
New York,40.7143,-74.006,5.9,9.18,54,8.53,18.4,25.3,27.27,2026-03-27 11:00:00+00:00
New York,40.7143,-74.006,5.28,8.57,58,8.11,20.7,24.9,16.87,2026-03-27 12:00:00+00:00
New York,40.7143,-74.006,5.85,8.63,61,8.33,19.0,25.2,24.6,2026-03-27 13:00:00+00:00
New York,40.7143,-74.006,6.35,8.16,57,8.92,19.5,24.8,21.37,2026-03-27 14:00:00+00:00
New York,40.7143,-74.006,4.16,8.14,59,9.87,18.8,25.3,25.69,2026-03-27 15:00:00+00:00
New York,40.7143,-74.006,4.13,8.9,58,10.74,20.1,25.1,19.92,2026-03-27 16:00:00+00:00
New York,40.7143,-74.006,,8.42,57,9.76,14.3,25.2,43.25,2026-03-27 17:00:00+00:00
New York,40.7143,-74.006,10.01,9.83,53,9.5,13.2,23.7,44.3,2026-03-27 18:00:00+00:00
New York,40.7143,-74.006,8.47,9.85,53,10.15,12.9,26.1,50.57,2026-03-27 19:00:00+00:00
New York,40.7143,-74.006,3.41,10.43,54,9.44,20.2,24.7,18.22,2026-03-27 20:00:00+00:00
New York,40.7143,-74.006,2.97,11.43,51,10.28,20.5,25.0,18.0,2026-03-27 21:00:00+00:00
New York,40.7143,-74.006,7.37,11.51,62,4.8,20.6,25.3,18.58,2026-03-27 22:00:00+00:00
New York,40.7143,-74.006,8.09,11.9,66,4.52,19.1,25.2,24.21,2026-03-27 23:00:00+00:00
New York,40.7143,-74.006,9.44,12.6,57,5.11,22.5,28.0,19.64,2026-03-28 00:00:00+00:00
New York,40.7143,-74.006,8.37,13.36,55,4.32,25.3,27.6,8.33,2026-03-28 01:00:00+00:00
New York,40.7143,-74.006,10.44,14.3,57,3.14,22.4,27.9,19.71,2026-03-28 02:00:00+00:00
New York,40.7143,-74.006,8.35,12.83,61,4.48,23.3,27.9,16.49,2026-03-28 03:00:00+00:00
New York,40.7143,-74.006,9.08,13.13,60,3.65,25.0,27.8,10.07,2026-03-28 04:00:00+00:00
New York,40.7143,-74.006,10.58,12.54,55,3.18,19.5,25.3,22.92,2026-03-28 05:00:00+00:00
New York,40.7143,-74.006,9.55,12.29,61,2.95,21.8,24.5,11.02,2026-03-28 06:00:00+00:00
New York,40.7143,-74.006,14.63,11.78,63,2.77,11.9,24.5,51.43,2026-03-28 07:00:00+00:00
New York,40.7143,-74.006,13.59,10.99,62,3.37,12.4,24.2,48.76,2026-03-28 08:00:00+00:00
New York,40.7143,-74.006,14.48,8.43,62,4.04,14.5,25.3,42.69,2026-03-28 09:00:00+00:00
New York,40.7143,-74.006,9.28,9.07,70,4.15,21.6,24.8,12.9,2026-03-28 10:00:00+00:00
New York,40.7143,-74.006,,8.63,68,4.3,20.5,25.2,18.65,2026-03-28 11:00:00+00:00
New York,40.7143,-74.006,8.3,8.34,59,4.55,21.5,25.6,16.02,2026-03-28 12:00:00+00:00
