timestamp,city,latitude,longitude,pm25,temperature,humidity,wind_speed,traffic_speed,free_flow_speed,traffic_congestion,hour_of_day,day_of_week,is_weekend,is_rush_hour,hour_sin,hour_cos,pm25_rolling_mean_3h,pm25_rolling_std_3h,congestion_rolling_mean_3h,pm25_rolling_mean_6h,pm25_rolling_std_6h,congestion_rolling_mean_6h,pm25_rolling_mean_24h,pm25_rolling_std_24h,congestion_rolling_mean_24h,pm25_lag_1h,congestion_lag_1h,temperature_lag_1h,pm25_lag_3h,congestion_lag_3h,temperature_lag_3h,pm25_lag_6h,congestion_lag_6h,temperature_lag_6h,pm25_rate_of_change,congestion_rate_of_change,temperature_rate_of_change,pm25_pct_change,speed_gap,congestion_delta,congestion_delta_3h,pm25_trend,congestion_trend,wind_dispersion,humidity_wind_idx,pm25_normalized,congestion_normalized,weather_stress
2026-03-26 22:00:00+00:00,New York,40.7143,-74.006,3.89,12.38,56,9.66,21.9,25.0,12.4,22,3,0,0,-0.5000000000000004,0.8660254037844384,3.89,0.0,12.4,3.89,0.0,12.4,3.89,0.0,12.4,,,,,,,,,,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0,0,0.399,5.738,0.0259,0.124,0.0174
2026-03-26 23:00:00+00:00,New York,40.7143,-74.006,3.89,12.9,55,9.35,18.9,24.9,24.1,23,3,0,0,-0.25881904510252157,0.9659258262890681,3.89,0.0,18.25,3.89,0.0,18.25,3.89,0.0,18.25,3.89,12.4,12.38,,,,,,,0.0,11.7,0.52,0.0,6.0,11.7,0.0,0,0,0.412,5.82,0.0259,0.241,0.0192
2026-03-27 00:00:00+00:00,New York,40.7143,-74.006,5.66,12.99,53,8.02,21.1,27.2,22.43,0,4,0,0,0.0,1.0,4.48,1.022,19.643,4.48,1.022,19.643,4.48,1.022,19.643,3.89,24.1,12.9,,,,,,,1.77,-1.67,0.09,0.455,6.1,-1.67,0.0,0,0,0.697,6.527,0.0377,0.2243,0.0341
2026-03-27 01:00:00+00:00,New York,40.7143,-74.006,6.48,13.78,53,8.03,23.5,27.2,13.6,1,4,0,0,0.25881904510252074,0.9659258262890683,5.343,1.324,20.043,4.98,1.302,18.132,4.98,1.302,18.132,5.66,22.43,12.99,3.89,12.4,12.38,,,,0.82,-8.83,0.79,0.1449,3.7,-8.83,1.2,1,1,0.797,6.519,0.0432,0.136,0.034
2026-03-27 02:00:00+00:00,New York,40.7143,-74.006,4.69,14.55,56,9.01,23.7,27.8,14.75,2,4,0,0,0.49999999999999994,0.8660254037844387,5.61,0.896,16.927,4.922,1.135,17.456,4.922,1.135,17.456,6.48,13.6,13.78,3.89,24.1,12.9,,,,-1.79,1.15,0.77,-0.2762,4.1,1.15,-9.35,1,-1,0.515,6.147,0.0313,0.1475,0.0261
2026-03-27 03:00:00+00:00,New York,40.7143,-74.006,6.33,13.85,57,7.53,19.9,27.4,27.37,3,4,0,0,0.7071067811865476,0.7071067811865476,5.833,0.993,18.573,5.157,1.167,19.108,5.157,1.167,19.108,4.69,14.75,14.55,5.66,22.43,12.99,,,,1.64,12.62,-0.7,0.3497,7.5,12.62,4.94,1,-1,0.83,7.471,0.0422,0.2737,0.0541
2026-03-27 04:00:00+00:00,New York,40.7143,-74.006,6.19,13.84,51,8.18,21.7,27.6,21.38,4,4,0,0,0.8660254037844386,0.5000000000000001,5.737,0.909,21.167,5.54,1.038,20.605,5.304,1.135,19.433,6.33,27.37,13.85,6.48,13.6,13.78,3.89,12.4,12.38,-0.14,-5.99,-0.01,-0.0221,5.9,-5.99,7.78,1,1,0.748,6.159,0.0413,0.2138,0.0264
2026-03-27 05:00:00+00:00,New York,40.7143,-74.006,5.55,13.84,49,7.66,21.4,25.1,14.74,5,4,0,0,0.9659258262890683,0.25881904510252074,6.023,0.416,21.163,5.817,0.665,19.045,5.335,1.054,18.846,6.19,21.38,13.84,4.69,14.75,14.55,3.89,24.1,12.9,-0.64,-6.64,0.0,-0.1034,3.7,-6.64,-0.01,1,1,0.715,6.314,0.037,0.1474,0.0296
2026-03-27 06:00:00+00:00,New York,40.7143,-74.006,5.55,11.74,55,7.13,21.3,25.6,16.8,6,4,0,0,1.0,6.123233995736766e-17,5.763,0.37,17.64,5.798,0.671,18.107,5.359,0.989,18.619,5.55,14.74,13.84,6.33,27.37,13.85,5.66,22.43,12.99,0.0,2.06,-2.1,0.0,4.3,2.06,-10.57,1,-1,0.768,7.607,0.037,0.168,0.057
2026-03-27 07:00:00+00:00,New York,40.7143,-74.006,11.54,11.82,55,7.72,13.1,25.8,49.22,7,4,0,1,0.9659258262890683,-0.25881904510252063,7.547,3.458,26.92,6.642,2.469,24.043,5.977,2.165,21.679,5.55,16.8,11.74,6.19,21.38,13.84,6.48,13.6,13.78,5.99,32.42,0.08,1.0793,12.7,32.42,27.84,1,1,1.476,7.033,0.0769,0.4922,0.0449
2026-03-27 08:00:00+00:00,New York,40.7143,-74.006,11.02,11.1,58,6.99,13.7,25.2,45.63,8,4,0,1,0.8660254037844387,-0.4999999999999998,9.37,3.318,37.217,7.697,2.799,29.19,6.435,2.556,23.856,11.54,49.22,11.82,5.55,14.74,13.84,4.69,14.75,14.55,-0.52,-3.59,-0.72,-0.0451,11.5,-3.59,30.89,1,1,1.554,8.181,0.0735,0.4563,0.0691
2026-03-27 09:00:00+00:00,New York,40.7143,-74.006,9.8,10.29,54,8.45,12.9,25.3,49.01,9,4,0,1,0.7071067811865476,-0.7071067811865475,10.787,0.893,47.953,8.275,2.818,32.797,6.716,2.623,25.952,11.02,45.63,11.1,5.55,16.8,11.74,6.33,27.37,13.85,-1.22,3.38,-0.81,-0.1107,12.4,3.38,32.21,1,1,1.146,6.316,0.0653,0.4901,0.0297
2026-03-27 10:00:00+00:00,New York,40.7143,-74.006,6.03,8.66,56,8.08,17.9,25.2,28.97,10,4,0,0,0.49999999999999994,-0.8660254037844387,8.95,2.601,41.203,8.248,2.843,34.062,6.663,2.519,26.185,9.8,49.01,10.29,11.54,49.22,11.82,6.19,21.38,13.84,-3.77,-20.04,-1.63,-0.3847,7.3,-20.04,-20.25,1,1,0.737,6.846,0.0402,0.2897,0.0409
2026-03-27 11:00:00+00:00,New York,40.7143,-74.006,5.9,9.18,54,8.53,18.4,25.3,27.27,11,4,0,0,0.258819045102521,-0.9659258262890682,7.243,2.215,35.083,8.307,2.779,36.15,6.609,2.429,26.262,6.03,28.97,8.66,11.02,45.63,11.1,5.55,14.74,13.84,-0.13,-1.7,0.52,-0.0216,6.9,-1.7,-18.36,1,1,0.684,6.257,0.0393,0.2727,0.0284
2026-03-27 12:00:00+00:00,New York,40.7143,-74.006,5.28,8.57,58,8.11,20.7,24.9,16.87,12,4,0,0,1.2246467991473532e-16,-1.0,5.737,0.401,24.37,8.262,2.834,36.162,6.52,2.365,25.636,5.9,27.27,9.18,9.8,49.01,10.29,5.55,16.8,11.74,-0.62,-10.4,-0.61,-0.1051,4.2,-10.4,-32.14,-1,1,0.643,7.065,0.0352,0.1687,0.0455
2026-03-27 13:00:00+00:00,New York,40.7143,-74.006,5.85,8.63,61,8.33,19.0,25.2,24.6,13,4,0,0,-0.2588190451025208,-0.9659258262890683,5.677,0.344,22.913,7.313,2.443,32.058,6.478,2.291,25.571,5.28,16.87,8.57,6.03,28.97,8.66,11.54,49.22,11.82,0.57,7.73,0.06,0.108,6.2,7.73,-4.37,-1,-1,0.694,7.236,0.039,0.246,0.0491
2026-03-27 14:00:00+00:00,New York,40.7143,-74.006,6.35,8.16,57,8.92,19.5,24.8,21.37,14,4,0,0,-0.4999999999999997,-0.8660254037844388,5.827,0.535,20.947,6.535,1.637,28.015,6.471,2.219,25.324,5.85,24.6,8.63,5.9,27.27,9.18,11.02,45.63,11.1,0.5,-3.23,-0.47,0.0855,5.3,-3.23,-5.9,-1,-1,0.704,6.319,0.0423,0.2137,0.0297
2026-03-27 15:00:00+00:00,New York,40.7143,-74.006,4.16,8.14,59,9.87,18.8,25.3,25.69,15,4,0,0,-0.7071067811865471,-0.7071067811865479,5.453,1.148,23.887,5.595,0.784,24.128,6.342,2.22,25.344,6.35,21.37,8.16,5.28,16.87,8.57,9.8,49.01,10.29,-2.19,4.32,-0.02,-0.3449,6.5,4.32,8.82,-1,-1,0.417,5.918,0.0277,0.2569,0.0213
2026-03-27 16:00:00+00:00,New York,40.7143,-74.006,4.13,8.9,58,10.74,20.1,25.1,19.92,16,4,0,0,-0.8660254037844385,-0.5000000000000004,4.88,1.273,22.327,5.278,0.941,22.62,6.226,2.217,25.059,4.16,25.69,8.14,5.85,24.6,8.63,6.03,28.97,8.66,-0.03,-5.77,0.76,-0.0072,5.0,-5.77,-4.68,-1,-1,0.381,5.351,0.0275,0.1992,0.0093
2026-03-27 17:00:00+00:00,New York,40.7143,-74.006,4.13,8.42,57,9.76,14.3,25.2,43.25,17,4,0,1,-0.9659258262890683,-0.25881904510252063,4.14,0.017,29.62,4.983,0.984,25.283,6.121,2.208,25.968,4.13,19.92,8.9,6.35,21.37,8.16,5.9,27.27,9.18,0.0,23.33,-0.48,0.0,10.9,23.33,21.88,-1,-1,0.419,5.781,0.0275,0.4325,0.0184
2026-03-27 18:00:00+00:00,New York,40.7143,-74.006,10.01,9.83,53,9.5,13.2,23.7,44.3,18,4,0,1,-1.0,-1.8369701987210297e-16,6.09,3.395,35.823,5.772,2.293,29.855,6.306,2.313,26.841,4.13,43.25,8.42,4.16,25.69,8.14,5.28,16.87,8.57,5.88,1.05,1.41,1.4237,10.5,1.05,18.61,1,1,1.043,5.521,0.0667,0.443,0.0129
2026-03-27 19:00:00+00:00,New York,40.7143,-74.006,8.47,9.85,53,10.15,12.9,26.1,50.57,19,4,0,1,-0.9659258262890684,0.2588190451025203,7.537,3.049,46.04,6.208,2.546,34.183,6.405,2.304,27.92,10.01,44.3,9.83,4.13,19.92,8.9,5.85,24.6,8.63,-1.54,6.27,0.02,-0.1538,13.2,6.27,30.65,1,1,0.826,5.171,0.0565,0.5057,0.0054
2026-03-27 20:00:00+00:00,New York,40.7143,-74.006,3.41,10.43,54,9.44,20.2,24.7,18.22,20,4,0,0,-0.8660254037844386,0.5000000000000001,7.297,3.453,37.697,5.718,2.785,33.658,6.274,2.336,27.498,8.47,50.57,9.85,4.13,43.25,8.42,6.35,21.37,8.16,-5.06,-32.35,0.58,-0.5974,4.5,-32.35,-25.03,1,1,0.357,5.66,0.0227,0.1822,0.0158
2026-03-27 21:00:00+00:00,New York,40.7143,-74.006,2.97,11.43,51,10.28,20.5,25.0,18.0,21,4,0,0,-0.7071067811865477,0.7071067811865474,4.95,3.056,28.93,5.52,2.956,32.377,6.137,2.382,27.103,3.41,18.22,10.43,10.01,44.3,9.83,4.16,25.69,8.14,-0.44,-0.22,1.0,-0.129,4.5,-0.22,-26.3,-1,1,0.286,4.913,0.0198,0.18,0.0
2026-03-27 22:00:00+00:00,New York,40.7143,-74.006,7.37,11.51,62,4.8,20.6,25.3,18.58,22,4,0,0,-0.5000000000000004,0.8660254037844384,4.583,2.423,18.267,6.06,2.947,32.153,6.282,2.345,27.36,2.97,18.0,11.43,8.47,50.57,9.85,4.13,19.92,8.9,4.4,0.58,0.08,1.4815,4.7,0.58,-31.99,-1,-1,1.504,12.653,0.0491,0.1858,0.1638
2026-03-27 23:00:00+00:00,New York,40.7143,-74.006,8.09,11.9,66,4.52,19.1,25.2,24.21,23,4,0,0,-0.25881904510252157,0.9659258262890681,6.143,2.772,20.263,6.72,2.871,28.98,6.457,2.315,27.365,7.37,18.58,11.51,3.41,18.22,10.43,4.13,43.25,8.42,0.72,5.63,0.39,0.0977,6.1,5.63,5.99,1,-1,1.751,14.286,0.0539,0.2421,0.1983
2026-03-28 00:00:00+00:00,New York,40.7143,-74.006,9.44,12.6,57,5.11,22.5,28.0,19.64,0,5,1,0,0.0,1.0,8.3,1.051,20.81,6.625,2.747,24.87,6.614,2.386,27.248,8.09,24.21,11.9,2.97,18.0,11.43,10.01,44.3,9.83,1.35,-4.57,0.7,0.1669,5.5,-4.57,1.64,1,-1,1.812,10.94,0.0629,0.1964,0.1275
2026-03-28 01:00:00+00:00,New York,40.7143,-74.006,8.37,13.36,55,4.32,25.3,27.6,8.33,1,5,1,0,0.25881904510252074,0.9659258262890683,8.633,0.712,17.393,6.608,2.734,17.83,6.693,2.413,27.029,9.44,19.64,12.6,7.37,18.58,11.51,8.47,50.57,9.85,-1.07,-11.31,0.76,-0.1133,2.3,-11.31,-10.25,1,-1,1.894,12.443,0.0558,0.0833,0.1593
2026-03-28 02:00:00+00:00,New York,40.7143,-74.006,10.44,14.3,57,3.14,22.4,27.9,19.71,2,5,1,0,0.49999999999999994,0.8660254037844387,9.417,1.035,15.893,7.78,2.592,18.078,6.932,2.49,27.235,8.37,8.33,13.36,8.09,24.21,11.9,3.41,18.22,10.43,2.07,11.38,0.94,0.2473,5.5,11.38,-4.5,1,-1,3.222,17.593,0.0696,0.1971,0.2683
2026-03-28 03:00:00+00:00,New York,40.7143,-74.006,8.35,12.83,61,4.48,23.3,27.9,16.49,3,5,1,0,0.7071067811865476,0.7071067811865476,9.053,1.201,14.843,8.677,1.09,17.827,7.017,2.502,26.782,10.44,19.71,14.3,9.44,19.64,12.6,2.97,18.0,11.43,-2.09,-3.22,-1.47,-0.2002,4.6,-3.22,-3.15,1,-1,1.823,13.319,0.0557,0.1649,0.1779
2026-03-28 04:00:00+00:00,New York,40.7143,-74.006,9.08,13.13,60,3.65,25.0,27.8,10.07,4,5,1,0,0.8660254037844386,0.5000000000000001,9.29,1.061,15.423,8.962,0.885,16.408,7.137,2.53,26.311,8.35,16.49,12.83,8.37,8.33,13.36,7.37,18.58,11.51,0.73,-6.42,0.3,0.0874,2.8,-6.42,1.74,1,-1,2.421,16.0,0.0605,0.1007,0.2346
2026-03-28 05:00:00+00:00,New York,40.7143,-74.006,10.58,12.54,55,3.18,19.5,25.3,22.92,5,5,1,0,0.9659258262890683,0.25881904510252074,9.337,1.137,16.493,9.377,0.973,16.193,7.347,2.6,26.652,9.08,10.07,13.13,10.44,19.71,14.3,8.09,24.21,11.9,1.5,12.85,-0.59,0.1652,5.8,12.85,3.21,1,-1,3.226,16.768,0.0705,0.2292,0.2508
2026-03-28 06:00:00+00:00,New York,40.7143,-74.006,9.55,12.29,61,2.95,21.8,24.5,11.02,6,5,1,0,1.0,6.123233995736766e-17,9.737,0.767,14.67,9.395,0.976,14.757,7.513,2.608,26.411,10.58,22.92,12.54,8.35,16.49,12.83,9.44,19.64,12.6,-1.03,-11.9,-0.25,-0.0974,2.7,-11.9,-5.47,1,-1,3.131,20.0,0.0637,0.1102,0.3192
2026-03-28 07:00:00+00:00,New York,40.7143,-74.006,14.63,11.78,63,2.77,11.9,24.5,51.43,7,5,1,1,0.9659258262890683,-0.25881904510252063,11.587,2.685,28.457,10.438,2.217,21.94,7.642,2.878,26.503,9.55,11.02,12.29,9.08,10.07,13.13,8.37,8.33,13.36,5.08,40.41,-0.51,0.5319,12.6,40.41,41.36,1,1,5.098,21.951,0.0975,0.5143,0.3605
2026-03-28 08:00:00+00:00,New York,40.7143,-74.006,13.59,10.99,62,3.37,12.4,24.2,48.76,8,5,1,1,0.8660254037844387,-0.4999999999999998,12.59,2.684,37.07,10.963,2.564,26.782,7.749,3.052,26.633,14.63,51.43,11.78,10.58,22.92,12.54,10.44,19.71,14.3,-1.04,-2.67,-0.79,-0.0711,11.8,-2.67,25.84,1,1,3.916,17.867,0.0906,0.4876,0.2741
2026-03-28 09:00:00+00:00,New York,40.7143,-74.006,14.48,8.43,62,4.04,14.5,25.3,42.69,9,5,1,1,0.7071067811865476,-0.7071067811865475,14.233,0.562,47.627,11.985,2.535,31.148,7.944,3.326,26.37,13.59,48.76,10.99,9.55,11.02,12.29,8.35,16.49,12.83,0.89,-6.07,-2.56,0.0655,10.8,-6.07,31.67,1,1,3.498,14.976,0.0965,0.4269,0.2129
2026-03-28 10:00:00+00:00,New York,40.7143,-74.006,9.28,9.07,70,4.15,21.6,24.8,12.9,10,5,1,0,0.49999999999999994,-0.8660254037844387,12.45,2.781,34.783,12.018,2.49,31.62,8.08,3.311,25.7,14.48,42.69,8.43,14.63,51.43,11.78,9.08,10.07,13.13,-5.2,-29.79,0.64,-0.3591,3.2,-29.79,-38.53,1,1,2.184,16.471,0.0619,0.129,0.2445
2026-03-28 11:00:00+00:00,New York,40.7143,-74.006,9.28,8.63,68,4.3,20.5,25.2,18.65,11,5,1,0,0.258819045102521,-0.9659258262890682,11.013,3.002,24.747,11.802,2.689,30.908,8.22,3.286,25.341,9.28,12.9,9.07,13.59,48.76,10.99,10.58,22.92,12.54,0.0,5.75,-0.44,0.0,4.7,5.75,-30.11,1,1,2.109,15.455,0.0619,0.1865,0.223
2026-03-28 12:00:00+00:00,New York,40.7143,-74.006,8.3,8.34,59,4.55,21.5,25.6,16.02,12,5,1,0,1.2246467991473532e-16,-1.0,8.953,0.566,15.857,11.593,2.936,31.742,8.346,3.225,25.306,9.28,18.65,8.63,14.48,42.69,8.43,9.55,11.02,12.29,-0.98,-2.63,-0.29,-0.1056,4.1,-2.63,-26.67,-1,1,1.785,12.688,0.0553,0.1602,0.1645
2026-03-28 13:00:00+00:00,New York,40.7143,-74.006,7.9,7.68,61,4.77,21.5,25.5,15.69,13,5,1,0,-0.2588190451025208,-0.9659258262890683,8.493,0.71,16.787,10.472,2.827,25.785,8.432,3.183,24.935,8.3,16.02,8.34,9.28,12.9,9.07,14.63,51.43,11.78,-0.4,-0.33,-0.66,-0.0482,4.0,-0.33,2.79,-1,-1,1.622,12.526,0.0527,0.1569,0.1611
2026-03-28 14:00:00+00:00,New York,40.7143,-74.006,8.51,6.85,62,5.22,21.2,25.5,16.86,14,5,1,0,-0.4999999999999997,-0.8660254037844388,8.237,0.31,16.19,9.625,2.441,20.468,8.522,3.152,24.747,7.9,15.69,7.68,9.28,18.65,8.63,13.59,48.76,10.99,0.61,1.17,-0.83,0.0772,4.3,1.17,-1.79,-1,-1,1.6,11.654,0.0567,0.1686,0.1426
