ds,yhat,yhat_lower,yhat_upper,is_forecast
2026-04-09 22:00:00+00:00,10.16,5.97,14.26,1
2026-04-09 23:00:00+00:00,10.49,6.21,14.92,1
2026-04-10 00:00:00+00:00,10.72,6.29,15.24,1
2026-04-10 01:00:00+00:00,10.74,6.2,15.39,1
2026-04-10 02:00:00+00:00,10.66,6.34,14.93,1
2026-04-10 03:00:00+00:00,10.69,6.24,15.3,1
2026-04-10 04:00:00+00:00,10.95,6.37,15.48,1
2026-04-10 05:00:00+00:00,11.47,7.13,15.94,1
2026-04-10 06:00:00+00:00,12.21,7.65,16.63,1
2026-04-10 07:00:00+00:00,16.7,12.24,21.03,1
2026-04-10 08:00:00+00:00,17.7,13.29,22.31,1
2026-04-10 09:00:00+00:00,18.55,14.06,22.83,1
2026-04-10 10:00:00+00:00,15.34,10.82,19.85,1
2026-04-10 11:00:00+00:00,14.97,10.54,19.57,1
2026-04-10 12:00:00+00:00,13.94,9.61,18.71,1
2026-04-10 13:00:00+00:00,12.71,8.36,17.16,1
2026-04-10 14:00:00+00:00,11.86,7.61,16.29,1
2026-04-10 15:00:00+00:00,11.73,7.47,16.49,1
2026-04-10 16:00:00+00:00,12.19,7.89,16.61,1
2026-04-10 17:00:00+00:00,16.36,12.13,20.71,1
2026-04-10 18:00:00+00:00,16.65,12.4,21.02,1
2026-04-10 19:00:00+00:00,16.52,12.02,21.11,1
2026-04-10 20:00:00+00:00,12.63,8.38,17.24,1
2026-04-10 21:00:00+00:00,12.47,8.35,16.9,1
